Test1: Formation of (S,G) Broadcast Tree
hpim.Interface                                     DEBUG    2020-06-16 19:59:56,816                                       1  eth1  R2 Received Hello message with HelloHoldTime: 40; CheckpointSN: 1 from neighbor 10.5.5.6
hpim.Interface                                     DEBUG    2020-06-16 19:59:56,818                                       0  eth0  R6 Received Sync message with BootTime: 1592337594; NeighborBootTime: 1592337593; MySnapshotSN: 2; NeighborSnapshotSN: 0; SyncSN: 0; Master flag: 1; More flag: 0 from neighbor 10.5.5.4
hpim.Interface                                     DEBUG    2020-06-16 19:59:56,821                                       1  eth1  R4 Received Sync message with BootTime: 1592337593; NeighborBootTime: 1592337594; MySnapshotSN: 2; NeighborSnapshotSN: 2; SyncSN: 0; Master flag: 0; More flag: 0 from neighbor 10.5.5.6
hpim.Interface                                     DEBUG    2020-06-16 19:59:56,823                                       0  eth0  R6 Received Sync message with BootTime: 1592337593; NeighborBootTime: 1592337593; MySnapshotSN: 2; NeighborSnapshotSN: 0; SyncSN: 0; Master flag: 1; More flag: 0 from neighbor 10.5.5.5
hpim.Interface                                     DEBUG    2020-06-16 19:59:56,826                                       0  eth0  R5 Received Sync message with BootTime: 1592337593; NeighborBootTime: 1592337593; MySnapshotSN: 3; NeighborSnapshotSN: 2; SyncSN: 0; Master flag: 0; More flag: 0 from neighbor 10.5.5.6
hpim.Interface                                     DEBUG    2020-06-16 19:59:56,827                                       0  eth0  R6 Received Sync message with BootTime: 1592337594; NeighborBootTime: 1592337593; MySnapshotSN: 2; NeighborSnapshotSN: 0; SyncSN: 0; Master flag: 1; More flag: 0 from neighbor 10.5.5.2
hpim.Interface                                     DEBUG    2020-06-16 19:59:56,835                                       1  eth1  R2 Received Sync message with BootTime: 1592337593; NeighborBootTime: 1592337594; MySnapshotSN: 4; NeighborSnapshotSN: 2; SyncSN: 0; Master flag: 0; More flag: 0 from neighbor 10.5.5.6
hpim.Interface                                     DEBUG    2020-06-16 19:59:56,835                                       0  eth0  R6 Received Sync message with BootTime: 1592337594; NeighborBootTime: 1592337593; MySnapshotSN: 2; NeighborSnapshotSN: 2; SyncSN: 1; Master flag: 1; More flag: 0 from neighbor 10.5.5.4
hpim.Interface                                     DEBUG    2020-06-16 19:59:56,836                                       1  eth1  R4 Received Sync message with BootTime: 1592337593; NeighborBootTime: 1592337594; MySnapshotSN: 2; NeighborSnapshotSN: 2; SyncSN: 1; Master flag: 0; More flag: 0 from neighbor 10.5.5.6
hpim.Interface                                     DEBUG    2020-06-16 19:59:56,839                                       0  eth0  R6 Received Sync message with BootTime: 1592337593; NeighborBootTime: 1592337593; MySnapshotSN: 2; NeighborSnapshotSN: 3; SyncSN: 1; Master flag: 1; More flag: 0 from neighbor 10.5.5.5
hpim.Interface                                     DEBUG    2020-06-16 19:59:56,840                                       0  eth0  R5 Received Sync message with BootTime: 1592337593; NeighborBootTime: 1592337593; MySnapshotSN: 3; NeighborSnapshotSN: 2; SyncSN: 1; Master flag: 0; More flag: 0 from neighbor 10.5.5.6
hpim.Interface                                     DEBUG    2020-06-16 19:59:56,841                                       0  eth0  R6 Received Sync message with BootTime: 1592337594; NeighborBootTime: 1592337593; MySnapshotSN: 2; NeighborSnapshotSN: 4; SyncSN: 1; Master flag: 1; More flag: 0 from neighbor 10.5.5.2
hpim.Interface                                     DEBUG    2020-06-16 19:59:56,843                                       1  eth1  R2 Received Sync message with BootTime: 1592337593; NeighborBootTime: 1592337594; MySnapshotSN: 4; NeighborSnapshotSN: 2; SyncSN: 1; Master flag: 0; More flag: 0 from neighbor 10.5.5.6
hpim.Interface                                     DEBUG    2020-06-16 19:59:57,285                                       1  eth1  R2 Received Hello message with HelloHoldTime: 40; CheckpointSN: 2 from neighbor 10.5.5.5
hpim.Interface                                     DEBUG    2020-06-16 19:59:57,285                                       1  eth1  R4 Received Hello message with HelloHoldTime: 40; CheckpointSN: 2 from neighbor 10.5.5.5
hpim.Interface                                     DEBUG    2020-06-16 19:59:57,285                                       1  eth1  R3 Received Hello message with HelloHoldTime: 40; CheckpointSN: 2 from neighbor 10.5.5.5
hpim.Interface                                     DEBUG    2020-06-16 19:59:57,290                                       0  eth0  R5 Received Sync message with BootTime: 1592337594; NeighborBootTime: 1592337593; MySnapshotSN: 3; NeighborSnapshotSN: 0; SyncSN: 0; Master flag: 1; More flag: 0 from neighbor 10.5.5.4
hpim.Interface                                     DEBUG    2020-06-16 19:59:57,286                                       0  eth0  R6 Received Hello message with HelloHoldTime: 40; CheckpointSN: 2 from neighbor 10.5.5.5
hpim.Interface                                     DEBUG    2020-06-16 19:59:57,294                                       1  eth1  R4 Received Sync message with BootTime: 1592337593; NeighborBootTime: 1592337594; MySnapshotSN: 3; NeighborSnapshotSN: 3; SyncSN: 0; Master flag: 0; More flag: 0 from neighbor 10.5.5.5
